split,image,combined_defect_types
train,tool09_bevel_gear_spindle_closeup_0013_isolated_c000_direct_b01_c00.jpg,pitting+tooth_end_rupture
train,tool09_bevel_gear_spindle_closeup_0013_isolated_c001_direct_b01_c00.jpg,pitting+tooth_end_rupture
train,tool09_bevel_gear_spindle_closeup_0013_isolated_c002_direct_b01_c00.jpg,pitting+tooth_end_rupture
train,tool09_bevel_gear_spindle_closeup_0013_isolated_c003_direct_b01_c00.jpg,pitting+tooth_end_rupture
train,tool09_bevel_gear_spindle_closeup_0013_isolated_c004_direct_b01_c00.jpg,pitting+tooth_end_rupture
val,tool09_bevel_gear_spindle_closeup_0012_isolated_c000_direct_b01_c00.jpg,pitting+tooth_end_rupture
val,tool09_bevel_gear_spindle_closeup_0012_isolated_c001_direct_b01_c00.jpg,pitting+tooth_end_rupture
val,tool09_bevel_gear_spindle_closeup_0012_isolated_c002_direct_b01_c00.jpg,pitting+tooth_end_rupture
val,tool09_bevel_gear_spindle_closeup_0012_isolated_c003_direct_b01_c00.jpg,pitting+tooth_end_rupture
val,tool09_bevel_gear_spindle_closeup_0012_isolated_c004_direct_b01_c00.jpg,pitting+tooth_end_rupture
