bild,defektart,abdeckung,defekt_px,defekt_anteil,defekt_rest_px,defekt_ausserhalb
synth_bevel_gear_spindle_closeup_adhesive_wear_0001,adhesive_wear,0.7703,65466,0.08299,65466,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0002,adhesive_wear,0.6645,8473,0.01074,7829,0.076
synth_bevel_gear_spindle_closeup_adhesive_wear_0003,adhesive_wear,0.9272,44371,0.05625,44371,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0004,adhesive_wear,0.8156,29691,0.03764,29676,0.0005
synth_bevel_gear_spindle_closeup_adhesive_wear_0005,adhesive_wear,0.9696,29721,0.03768,29721,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0006,adhesive_wear,0.6547,19910,0.02524,19910,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0007,adhesive_wear,0.9177,14841,0.01881,14841,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0008,adhesive_wear,0.8319,20443,0.02592,20443,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0009,adhesive_wear,0.9416,19545,0.02478,19545,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0010,adhesive_wear,0.9922,24758,0.03139,24758,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0011,adhesive_wear,0.9101,18126,0.02298,17997,0.0071
synth_bevel_gear_spindle_closeup_adhesive_wear_0012,adhesive_wear,0.8512,37033,0.04695,37033,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0013,adhesive_wear,0.8953,69909,0.08863,69905,0.0001
synth_bevel_gear_spindle_closeup_adhesive_wear_0014,adhesive_wear,0.8345,50932,0.06457,50900,0.0006
synth_bevel_gear_spindle_closeup_adhesive_wear_0015,adhesive_wear,0.6882,44765,0.05675,44765,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0016,adhesive_wear,0.653,57788,0.07326,57788,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0017,adhesive_wear,0.9085,22930,0.02907,22930,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0018,adhesive_wear,0.9943,30489,0.03865,30445,0.0014
synth_bevel_gear_spindle_closeup_adhesive_wear_0019,adhesive_wear,0.888,28705,0.03639,28705,0.0
synth_bevel_gear_spindle_closeup_adhesive_wear_0020,adhesive_wear,0.8919,73653,0.09337,71232,0.0329
synth_bevel_gear_spindle_closeup_adhesive_wear_0021,adhesive_wear,0.1716,11377,0.01442,11376,0.0001
synth_bevel_gear_spindle_closeup_adhesive_wear_0022,adhesive_wear,0.5571,13167,0.01669,11001,0.1645
synth_bevel_gear_spindle_closeup_adhesive_wear_0023,adhesive_wear,0.4569,18167,0.02303,15852,0.1274
synth_bevel_gear_spindle_closeup_adhesive_wear_0024,adhesive_wear,0.1438,3920,0.00497,2352,0.4
synth_bevel_gear_spindle_closeup_adhesive_wear_0025,adhesive_wear,0.443,10243,0.01299,7356,0.2819
synth_bevel_gear_spindle_closeup_adhesive_wear_0026,adhesive_wear,0.4083,12972,0.01645,9382,0.2767
synth_bevel_gear_spindle_closeup_adhesive_wear_0027,adhesive_wear,0.4508,9114,0.01155,8394,0.079
synth_bevel_gear_spindle_closeup_adhesive_wear_0028,adhesive_wear,0.3943,9458,0.01199,1526,0.8387
synth_bevel_gear_spindle_closeup_adhesive_wear_0029,adhesive_wear,0.4341,15957,0.02023,13484,0.155
synth_bevel_gear_spindle_closeup_adhesive_wear_0030,adhesive_wear,0.5186,9948,0.01261,6299,0.3668
synth_bevel_gear_spindle_closeup_fretting_corrosion_0001,fretting_corrosion,0.8031,26019,0.03299,25890,0.005
synth_bevel_gear_spindle_closeup_fretting_corrosion_0002,fretting_corrosion,0.6749,55904,0.07087,53297,0.0466
synth_bevel_gear_spindle_closeup_fretting_corrosion_0003,fretting_corrosion,0.9882,15238,0.01932,15161,0.0051
synth_bevel_gear_spindle_closeup_fretting_corrosion_0004,fretting_corrosion,0.89,5727,0.00726,5727,0.0
synth_bevel_gear_spindle_closeup_fretting_corrosion_0005,fretting_corrosion,0.9796,69083,0.08758,68812,0.0039
synth_bevel_gear_spindle_closeup_fretting_corrosion_0006,fretting_corrosion,0.6276,21840,0.02769,21638,0.0092
synth_bevel_gear_spindle_closeup_fretting_corrosion_0007,fretting_corrosion,0.7574,19890,0.02522,19890,0.0
synth_bevel_gear_spindle_closeup_fretting_corrosion_0008,fretting_corrosion,0.8474,22263,0.02822,22263,0.0
synth_bevel_gear_spindle_closeup_fretting_corrosion_0009,fretting_corrosion,0.5925,7525,0.00954,7525,0.0
